BuyerAgentAOR,ListAgentAOR,Flooring,ViewYN,WaterfrontYN,BasementYN,PoolPrivateYN,OriginalListPrice,ListingKey,CloseDate,ClosePrice,ListAgentFirstName,ListAgentLastName,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,BuyerOfficeName,CoListOfficeName,ListAgentFullName,CoListAgentFirstName,CoListAgentLastName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,FireplacesTotal,AssociationFeeFrequency,AboveGradeFinishedArea,ListingKeyNumeric,MLSAreaMajor,TaxAnnualAmount,CountyOrParish,MlsStatus,ElementarySchool,AttachedGarageYN,ParkingTotal,BuilderName,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,TaxYear,BuildingAreaTotal,BedroomsTotal,ContractStatusChangeDate,ElementarySchoolDistrict,CoBuyerAgentFirstName,PurchaseContractDate,ListingContractDate,BelowGradeFinishedArea,BusinessType,StateOrProvince,CoveredSpaces,MiddleOrJuniorSchool,FireplaceYN,Stories,HighSchool,Levels,LotSizeDimensions,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,MiddleOrJuniorSchoolDistrict,OriginatingSystemName,OriginatingSystemSubName
OrangeCounty,OrangeCounty,,True,,,False,550000.0,1156422390,2026-03-31,500000.0,Benjamin,Alfaro,33.874362,-117.524826,3742 Blair Street,Residential,948.0,550000.0,0,The Benjamin Scott Agency,The Benjamin Scott Agency,,Benjamin Alfaro,,,ocalfaben,Benjamin,Alfaro,,,,1156422390,248 - Corona,,Riverside,Closed,,False,2.0,,SingleFamilyResidence,0.22,Riverside Valley Home Gardens,OrangeCounty,1949,3742,OC26069287,1,Corona,,,2,2026-03-31,,,2026-03-18,2025-12-16,,,CA,,,True,1,,One,,9583.0,2,False,2.0,Corona-Norco Unified,92879,0.0,9583.0,,CRMLS,CRMLS_CRM
Mrmls,Southland,,False,,,False,1795.0,1156421791,2026-03-31,1795.0,Matthew,Clark,33.868778,-117.912793,142 S Princeton Avenue 6,ResidentialLease,700.0,1795.0,0,Matthew Clark,None MRML,,Matthew Clark,,,NONE,NONE,NONE,,,,1156421791,83 - Fullerton,,Orange,Closed,,,0.0,,Condominium,0.0023,Other,Mrmls,1958,142,SR26069265,1,Fullerton,,,1,2026-03-31,,,2026-03-31,2026-03-31,,,CA,,,False,1,,One,,100.0,1,False,0.0,Fullerton Joint Union High,92831,0.0,100.0,,CRMLS,CRMLS_CRM
OrangeCounty,OrangeCounty,,True,,,,550000.0,1156421688,2026-03-06,500000.0,Benjamin,Alfaro,33.770735,-117.390948,24060 Bienvenidos,Land,,550000.0,0,The Benjamin Scott Agency,The Benjamin Scott Agency,,Benjamin Alfaro,,,ocalfaben,Benjamin,Alfaro,,,,1156421688,699 - Not Defined,,Riverside,Closed,,,,,,2.39,,OrangeCounty,,24060,OC26069190,,Perris,,,,2026-03-06,,,2026-01-16,2025-12-30,,,CA,,,,,,,,104108.0,,False,,,92570,0.0,104108.0,,CRMLS,CRMLS_CRM
SanLuisObispoCoastal,NorthSanLuisObispo,,True,,,False,950000.0,1156421207,2026-03-30,907500.0,Brian,Hicks,35.519006,-120.699467,5400 Carrizo,Residential,1927.0,950000.0,0,Brian Hicks Real Estate Group,San Luis Bay Realty,,Brian Hicks,,,SC02169453,Kristina,Kidwell,,,,1156421207,ATSC - Atascadero,,San Luis Obispo,Closed,,False,3.0,,SingleFamilyResidence,0.58,Parcel Map Co-72-37,SanLuisObispoCoastal,1974,5400,NS26069208,3,Atascadero,,,3,2026-03-30,,,2026-02-24,2026-02-23,,,CA,,,True,1,,One,,25265.0,3,False,3.0,Atascadero Unified,93422,0.0,25265.0,,CRMLS,CRMLS_CRM
Mlslistings,Mlslistings,,False,,,,,1156420062,2026-03-30,1105000.0,Christine,Bui,37.36814957,-121.86063197,1723 Pine Hollow Circle,Residential,1395.0,1105000.0,0,"CMB Realty and Mortgage, Inc.",Real Estate Avenue,,Christine Bui,,,ML5104782,Tung,Le,,,,1156420062,699 - Not Defined,,Santa Clara,Closed,,True,2.0,,SingleFamilyResidence,0.1148,,Mlslistings,1980,1723,ML82041037,2,San Jose,,,4,2026-03-30,,,2026-03-30,2026-03-30,,,CA,,,True,,,,,5000.0,,False,2.0,Other,95133,,5000.0,,CRMLS,CRMLS_MLSL
Mrmls,Southland,,True,,,True,2750000.0,1156419949,2026-03-31,2525000.0,Jill,Fischer-Politz,34.130943,-118.495907,3325 Alginet,Residential,3694.0,2750000.0,0,The One Luxury Properties,None MRML,,Jill Fischer-Politz,,,None,NONE,NONE,,,,1156419949,ENC - Encino,,Los Angeles,Closed,,True,2.0,,SingleFamilyResidence,0.2834,,Mrmls,1965,3325,SR26069033,5,Encino,,,6,2026-03-31,,,2026-03-31,2026-03-31,,,CA,,,True,2,,Two,,12344.0,1,False,2.0,Los Angeles Unified,91436,0.0,12344.0,,CRMLS,CRMLS_CRM
SanLuisObispoCoastal,SanLuisObispoCoastal,,True,,,False,1650000.0,1156419172,2026-03-31,1650000.0,Eldon,Daetweiler,35.357632,-120.845331,300 Piney,Residential,2446.0,1650000.0,0,COASTHOUS,Premier Plus Real Estate Company,Premier Plus Real Estate Company,Eldon Daetweiler,Kirk,Psenner,SC01245756,Kirk,Psenner,,,,1156419172,MRBY - Morro Bay,,San Luis Obispo,Closed,,True,2.0,,SingleFamilyResidence,0.502,Morro Heights (810),SanLuisObispoCoastal,1964,300,SC26069064,2,Morro Bay,,,4,2026-03-31,,,2026-03-01,2026-02-26,,,CA,,,True,2,,Two,,21865.0,1,False,2.0,San Luis Coastal Unified,93442,0.0,21865.0,,CRMLS,CRMLS_CRM
BeverlyHillsGreaterLa,BeverlyHillsGreaterLa,"Tile,Wood",True,,,False,2658000.0,1156417292,2026-03-31,2658000.0,David,Berg,34.064608,-118.43116,10490 Wilshire Boulevard 1204,Residential,2776.0,2658000.0,0,Compass,Compass,Compass,David Berg,F. Ron,Smith,CLW-X88365,Gary,Barkin,,Monthly,,1156417292,C05 - Westwood - Century City,,Los Angeles,Closed,,,2.0,,Condominium,1.9462,,BeverlyHillsGreaterLa,1989,10490,26661093,3,Los Angeles,,2776.0,3,2026-03-31,,Haya,2026-03-31,2026-03-31,,,CA,,,False,1,,One,,84778.0,,False,,,90024,3772.0,84778.0,,CRMLS,CRMLS_CL
BeverlyHillsGreaterLa,Claw,Wood,True,,,False,1560000.0,1156413614,2026-03-31,1560000.0,Kristofer,Zacuto,33.97617,-118.428195,5300 Playa Vista Drive 12,Residential,2200.0,1560000.0,21,Compass,Sotheby's International Realty,Compass,Kristofer Zacuto,Josh,Goldstein,CLW-C107333,Robert,Brigande,,Monthly,,1156413614,C39 - Playa Vista,,Los Angeles,Closed,,,0.0,,Townhouse,1.1955,,BeverlyHillsGreaterLa,2005,5300,26671243,3,Playa Vista,,2200.0,3,2026-03-31,,,2026-01-05,2025-12-15,,,CA,,,,,,"ThreeOrMore,MultiSplit",,52077.0,,False,,,90094,350.0,52077.0,,CRMLS,CRMLS_CL
SanDiego,SanDiego,,False,,,False,949000.0,1156402282,2026-03-31,949000.0,Megan,Beauvais,32.75335741,-117.02498409,8017 Wetherly St,Residential,2388.0,949000.0,0,Compass,Compass,,Megan Beauvais,,,SAND-685623,Twana,Rasoul,,,,1156402282,91941 - La Mesa,,San Diego,Closed,,True,5.0,,SingleFamilyResidence,0.1997,La Mesa,SanDiego,1966,8017,260007495SD,2,La Mesa,,,4,2026-03-31,,,2026-03-31,2026-03-31,,,CA,,,True,2,,Two,,8700.0,,False,2.0,,91941,,8700.0,,CRMLS,CRMLS_SAND
